Nr	Gender	Age	DIS_POS_01	DIS_POS_01_GAME	EMP_NEG_01	EMP_NEG_01_GAME	EMP_POS_01	EMP_POS_01_GAME	RES_NEG_01	RES_NEG_01_GAME	RES_POS_01	RES_POS_01_GAME	RES_POS_02	RES_POS_02_GAME	RES_POS_03	RES_POS_03_GAME	EMP_NEG_02	EMP_NEG_02_GAME	DIS_POS_02	DIS_POS_02_GAME	DIS_NEG_01	DIS_NEG_01_GAME	EMP_POS_02	EMP_POS_02_GAME	RES_POS_04	RES_POS_04_GAME	EMP_NEG_03	EMP_NEG_03_GAME	EMP_POS_03	EMP_POS_03_GAME	EMP_NEG_04	EMP_NEG_04_GAME	DIS_POS_03	DIS_POS_03_GAME	DIS_NEG_02	DIS_NEG_02_GAME	RES_POS_05	RES_POS_05_GAME	DIS_NEG_03	DIS_NEG_03_GAME	RES_POS_06	RES_POS_06_GAME	DIS_NEG_04	DIS_NEG_04_GAME	RES_POS_07	RES_POS_07_GAME	DIS_NEG_05	DIS_NEG_05_GAME	EMP_POS_04	EMP_POS_04_GAME	DIS_NEG_06	DIS_NEG_06_GAME	RES_POS_08	RES_POS_08_GAME	EMP_POS_05	EMP_POS_05_GAME	RES_POS_09	RES_POS_09_GAME	TOTAL_DIS	TOTAL_EMP	TOTAL_RES	TOTAL_DIS_GAME	TOTAL_EMP_GAME	TOTAL_RES_GAME
27	2	39	4	5	-1	-1	5	3	-2	-1	4	5	5	3	5	3	-2	-1	3	3	-2	-5	4	3	5	3	-3	-5	4	5	-5	-1	5	5	-3	-3	5	5	-3	-3	5	5	-4	-5	4	5	-3	-1	5	5	-3	-3	5	3	5	1	5	5	-6	12	41	-7	9	36
28	1	18	1	5	-1	-1	3	3	-3	-1	3	3	2	3	5	3	-3	-1	3	3	-4	-3	5	5	2	3	-4	-1	4	5	-2	-3	2	5	-4	-3	5	5	-5	-3	5	5	-2	-1	4	5	-2	-1	4	5	-4	-3	4	5	5	1	3	5	-15	11	30	-1	13	36
29	2	15	4	1	-4	-3	4	3	-4	-3	4	3	2	3	4	1	-4	-3	4	3	-4	-5	5	3	5	3	-4	-3	4	5	-5	-3	5	5	-4	-3	5	5	-4	-1	5	5	-5	-3	5	5	-4	-3	3	1	-4	-5	4	5	4	3	3	1	-12	3	33	-11	3	28
30	3	26	4	1	-2	-1	3	3	-2	-3	4	5	4	5	3	1	-3	-3	3	3	-4	-5	5	3	5	3	-2	-3	4	5	-1	-3	2	3	-3	-3	3	5	-3	-1	4	5	-3	-3	3	5	-4	-1	4	5	-4	-5	4	1	5	1	5	5	-12	13	33	-11	7	32
31	2	18	5	5	-2	-3	3	3	-3	-1	4	5	4	3	4	1	-2	-1	4	3	-3	-3	5	3	4	3	-3	-1	4	5	-2	-1	4	5	-2	-3	4	5	-3	-3	4	5	-3	-3	4	5	-2	-1	4	5	-3	-3	3	5	4	1	4	5	-3	11	32	-3	11	36
32	1	25	5	5	-1	-3	5	3	-3	-3	3	5	5	5	4	1	-1	-1	1	3	-4	-3	4	1	4	3	-3	-3	4	5	-1	-3	4	3	-4	-3	1	5	-2	-3	4	5	-4	-1	5	5	-2	-1	5	5	-4	-3	5	5	5	1	5	5	-10	17	33	-3	5	36
33	1	24	2	5	-2	-3	5	3	-1	-3	4	3	4	3	5	5	-2	-3	3	3	-4	-5	5	1	4	3	-2	-3	4	5	-1	-1	3	5	-2	-3	4	5	-2	-3	5	5	-2	-3	4	1	-3	-3	4	3	-2	-3	5	5	5	1	5	5	-7	16	39	-7	3	32
34	1	15	2	5	-2	-1	1	1	-4	-1	2	1	4	5	1	3	-5	-1	1	3	-4	-3	5	3	2	3	-3	-5	2	5	-4	-3	1	5	-4	-1	1	5	-4	-3	4	5	-5	-1	3	3	-4	-1	4	5	-5	-3	1	5	5	1	3	1	-22	3	17	1	5	30
35	2	25	3	5	-2	-1	4	5	-3	-1	4	5	4	1	4	3	-1	-1	3	3	-2	-5	5	3	4	3	-2	-3	4	5	-3	-1	2	5	-4	-3	5	5	-4	-3	5	5	-4	-1	5	5	-4	-3	5	5	-3	-5	4	5	5	1	5	5	-13	15	37	-7	13	36
36	2	25	3	5	-4	-1	5	1	-2	-3	4	3	2	5	4	1	-3	-3	3	1	-4	-3	5	5	4	5	-2	-3	4	5	-3	-1	4	5	-5	-3	1	5	-2	-3	5	1	-4	-3	5	5	-2	-1	5	5	-5	-5	5	5	4	5	5	5	-12	11	33	-7	13	32
Mode	-	21	3	5	-2	-1	3	3	-2	-1	4	5	4	3	4	3	-2	-1	3	3	-4	-5	5	3	4	3	-2	-3	4	5	-3	-3	3	5	-4	-3	5	5	-4	-3	4	5	-3	-3	4	5	-2	-1	4	5	-3	-3	4	5	5	1	4	5	-12	11	33	-7	7	34
Median	-	22.0	3.0	5.0	-2.0	-1.0	3.0	3.0	-2.0	-1.0	4.0	5.0	4.0	3.0	4.0	3.0	-2.0	-1.0	3.0	3.0	-4.0	-5.0	5.0	3.0	4.0	3.0	-2.0	-3.0	4.0	5.0	-3.0	-3.0	3.0	5.0	-4.0	-3.0	4.0	5.0	-4.0	-3.0	4.0	5.0	-3.0	-3.0	4.0	5.0	-3.0	-1.0	4.0	5.0	-4.0	-3.0	4.0	5.0	5.0	1.0	4.0	5.0	-12.0	11.0	33.0	-7.0	7.0	34.0
Mean	-	23.68	2.89	4.03	-2.32	-1.81	3.43	3.11	-2.41	-2.03	3.78	3.97	3.92	3.16	3.86	2.57	-2.3	-1.97	2.92	3.32	-3.51	-3.7	4.32	3.0	3.73	3.27	-2.43	-3.0	3.86	4.73	-2.81	-2.24	3.08	4.24	-3.38	-3.05	3.68	3.92	-3.51	-2.73	4.22	4.68	-3.35	-2.46	3.78	4.08	-3.16	-2.03	4.0	4.46	-3.59	-3.32	3.86	4.19	4.51	1.97	4.03	3.92	-11.62	10.27	32.46	-5.7	8.24	31.73
STD	-	6.29	1.18	1.72	1.09	1.09	0.97	1.13	0.88	1.2	0.78	1.28	1.05	1.08	1.02	1.24	1.21	1.28	1.12	1.27	1.0	1.56	0.96	0.93	0.92	0.83	1.05	1.54	0.87	0.83	1.23	1.17	1.24	1.17	1.05	0.98	1.23	1.78	0.95	0.83	0.9	1.09	1.1	1.29	1.02	1.36	1.05	1.2	0.84	1.11	0.91	1.43	1.04	1.43	0.98	1.44	0.94	1.44	6.05	5.46	6.32	3.55	4.52	5.56
