"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"gender"	"age"	"DIS_POS_01"	"EMP_NEG_01"	"EMP_POS_01"	"RES_NEG_01"	"RES_POS_01"	"RES_POS_02"	"RES_POS_03"	"EMP_NEG_02"	"DIS_POS_02"	"DIS_NEG_01"	"EMP_POS_02"	"RES_POS_04"	"EMP_NEG_03"	"EMP_POS_03"	"EMP_NEG_04"	"DIS_POS_03"	"DIS_NEG_02"	"RES_POS_05"	"DIS_NEG_03"	"RES_POS_06"	"DIS_NEG_04"	"RES_POS_07"	"DIS_NEG_05"	"EMP_POS_04"	"DIS_NEG_06"	"RES_POS_08"	"EMP_POS_05"	"RES_POS_09"	"rpgcode"	"PLY_NEG_01"	"PLY_POS_01"	"PLY_NEG_02"	"PL_POS_02"	"PL_NEG_03"	"PL_NEG_04"	"PL_POS_03"	"PL_NEG_05"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
26			"base"	"interview"	2020-03-04 11:56:45	2	21	5	2	3	3	4	5	5	1	5	3	4	3	2	5	3	5	1	4	4	5	4	5	2	4	3	5	5	5	"35551-3-3-1-1-35-133335531-5-3-1-3333313"	1	5	1	4	2	4	4	1	6	7	38	157	208		2020-03-04 12:00:14	1	0	4	4	0	0	1,04	5
28			"base"	"interview"	2020-03-04 15:24:54	2	17	1	3	4	2	4	5	5	4	4	2	5	5	2	5	1	2	3	5	3	4	5	5	2	4	3	3	4	5	"35355-1-5-5-5-35-153535513-1-3-5-1351353"	1	3	1	3	2	4	2	2	4	8	35	86	133		2020-03-04 15:27:07	1	0	4	4	0	0	1,28	14
29			"base"	"interview"	2020-03-04 15:40:43	2	42	3	4	3	2	4	5	5	4	3	2	5	4	4	4	5	4	4	5	5	5	5	4	2	4	5	4	5	4	"35355-1-3-1-3-15-333355553-5-5-5-3535333"	2	4	1	5	2	1	4	2	7	8	132	106	159		2020-03-04 15:44:56	1	0	4	4	0	0	0,86	4
30			"base"	"interview"	2020-03-04 15:56:01	2	34	2	1	4	1	4	4	4	2	2	4	4	4	2	4	1	2	3	3	4	4	2	4	4	4	4	4	5	4	"33131-1-3-5-5-15-153555553-5-5-5-3531331"	3	5	3	4	2	3	4	2	36	11	29	85	131		2020-03-04 15:58:42	1	0	4	4	0	0	0,93	8
33			"base"	"interview"	2020-03-04 16:12:17	1	20	2	1	3	2	3	3	4	2	2	5	4	4	4	3	4	2	5	4	5	4	5	2	4	3	5	3	5	4	"53511-3-1-3-1-35-153355533-5-5-1-3333333"	2	5	2	4	3	3	4	2	4	18	24	72	118		2020-03-04 16:14:15	1	0	4	4	0	0	1,3	20
34			"base"	"interview"	2020-03-04 16:48:44	2	26	1	1	1	1	5	5	3	1	5	3	5	4	1	5	4	4	4	3	4	5	3	5	4	5	4	5	5	4	"35351-3-1-5-1-11-355355553-5-5-5-5511331"	1	4	2	5	3	3	4	3	8	18	44	150	220		2020-03-04 16:52:24	1	0	4	4	0	0	0,73	0
36			"base"	"interview"	2020-03-04 17:32:28	1	15	2	2	4	3	4	3	4	3	4	5	4	3	2	4	3	3	4	5	3	5	3	4	5	4	3	2	5	4	"35351-3-1-1-5-35-333353513-5-5-5-3555311"	2	4	2	3	2	2	4	2	5	11	27	642	155		2020-03-04 17:43:53	1	0	4	4	0	0	0,92	8
37			"base"	"interview"	2020-03-04 17:35:08	2	21	3	5	2	1	5	5	5	5	3	5	5	4	1	5	2	5	5	5	5	5	5	2	5	2	5	5	5	5	"35151-3-1-3-1-15-153333553-5-5-5-3535311"	1	5	1	5	5	3	3	3	7	9	29	75	120		2020-03-04 17:37:08	1	0	4	4	0	0	1,19	11
38			"base"	"interview"	2020-03-04 17:46:35	1	23	3	3	4	2	4	4	4	2	2	5	4	2	4	4	2	3	4	4	3	3	4	1	2	4	4	4	5	3	"35351-1-1-1-1-11-333155553-5-5-5-3535311"	2	3	3	4	2	4	2	3	6	12	25	81	124		2020-03-04 17:48:39	1	0	4	4	0	0	1,18	11
39			"base"	"interview"	2020-03-04 17:52:31	2	34	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	"11153-5-3-1-5-31-313151533-1-5-5-3155133"	2	4	3	3	3	3	2	3	6	8	25	46	85		2020-03-04 17:53:56	1	0	4	4	0	0	1,55	28
40			"base"	"interview"	2020-03-04 18:04:26	2	21	4	1	4	3	4	4	2	1	2	3	5	3	1	4	2	2	4	4	4	4	2	3	2	5	4	5	5	3	"15353-3-3-3-1-15-551333553-5-5-5-3533311"	1	3	1	4	2	5	4	2	5	15	66	389	198		2020-03-04 18:12:21	1	0	4	4	0	0	0,68	3
42			"base"	"interview"	2020-03-04 18:52:30	2	18	2	2	4	2	4	4	4	3	2	3	4	4	1	4	3	3	2	3	4	4	3	4	3	4	3	4	4	4	"35355-1-3-1-1-15-155155553-1-5-5-5155355"	1	5	1	5	4	5	4	2	5	13	41	146	205		2020-03-04 18:55:55	1	0	4	4	0	0	0,92	3
